fecha;emisor;valor;valor_nominal_usd;precio_usd;numero_acciones;valor_efectivo_usd;procedencia
13/01/2023;BANCO BOLIVARIANO C.A.;ACCIONES;1.00;1.05;4150;4357.50;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;332;707.16;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;2600;5564.00;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;1500;3225.00;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;294;632.10;Q
16/01/2023;TECAFORTUNA SA;ACCIONES;1.00;3.17;20000;63400.00;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;504;1078.56;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;524;1126.60;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;3275;7008.50;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1182;2529.48;G
16/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;50;47.50;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;127;273.05;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;90;192.60;G
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;100;215.00;Q
16/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.81;12500;10125.00;Q
16/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.11;117;129.87;Q
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;2600;5564.00;Q
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1663;3558.82;Q
16/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;919;1975.85;Q
