fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
13/01/2023;SURGALARE SA;96.1924;5197.92;5000.00;13/01/2023;12/06/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
13/01/2023;PRODUCTORA CARTONERA S.A.;97.7040;15249.97;14899.82;13/01/2023;17/04/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;PRODUCTORA CARTONERA S.A.;97.4705;149214.58;145440.20;13/01/2023;24/04/2023;9.25;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;PRODUCTORA CARTONERA S.A.;98.7898;244997.72;242032.82;13/01/2023;03/03/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;PRODUCTORA CARTONERA S.A.;98.7898;199991.86;197571.61;13/01/2023;03/03/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;PRODUCTORA CARTONERA S.A.;98.7898;199977.36;197557.28;13/01/2023;03/03/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
16/01/2023;SURGALARE SA;95.5325;2093.55;2000.02;16/01/2023;15/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
16/01/2023;PRODUCTORA CARTONERA S.A.;95.5325;15701.50;15000.04;16/01/2023;15/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
17/01/2023;PROTECALEMAN REPRESENTACIONES QUIM S A;97.7895;16702.50;16333.30;21/12/2022;20/04/2023;8.75;Q;ACEPTANTE: FERTIPALMA CIA. LTDA. - RUC 0790099176001                                                                                                  
17/01/2023;SURGALARE SA;95.4414;10483.86;10005.94;17/01/2023;16/07/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
17/01/2023;SURGALARE SA;95.4414;10837.39;10343.35;17/01/2023;16/07/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
17/01/2023;SURGALARE SA;95.4414;43349.60;41373.44;17/01/2023;16/07/2023;9.50;Q;ACEPTANTE: ARTES GRAFICAS SENEFELDER - RUC: 0990004277001                                                                                             
17/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.5343;3991.41;3932.91;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
17/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.5343;4438.44;4373.39;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
17/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.3284;620.45;610.08;01/12/2022;31/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
17/01/2023;SURGALARE SA;96.1699;7278.79;7000.01;17/01/2023;21/06/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
17/01/2023;SURGALARE SA;95.5560;2093.01;2000.00;17/01/2023;16/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
18/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.0779;9825.00;9636.16;12/12/2022;11/04/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
18/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.0779;9825.00;9636.16;12/12/2022;11/04/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
